6714 Sebert Ave, Cleveland, 44105 (5 requests)
Electrical Issue, May 28, 2024, 06:29PM
Illegal Use of Property, May 28, 2024, 06:33PM
General Exterior Maintenance/Fence/Outbuildings, May 28, 2024, 06:35PM
Tree Service, May 28, 2024, 07:16PM
Rental Inspection Complaint, May 30, 2024, 03:07PM

3664 E 153Rd St, Cleveland, Oh, 44120 (5 requests)
Vacant Property, June 14, 2024, 09:05AM
Vacant Property, June 24, 2024, 03:06PM
Vacant Property Open to Entry, June 24, 2024, 03:07PM
Vacant Property Open to Entry, June 25, 2024, 10:21AM
Vacant Property, July 10, 2024, 06:15PM

3592 W 50Th St, Cleveland, Oh, 44102 (5 requests)
Vacant Property, June 27, 2024, 06:44PM
Tree Service, June 27, 2024, 06:46PM
Vacant Property Open to Entry, June 27, 2024, 06:48PM
Illegal Dumping, June 27, 2024, 06:51PM
General Exterior Maintenance/Fence/Outbuildings, June 27, 2024, 07:02PM

3643 E 117 St, Cleveland, 44105 (4 requests)
Vacant Property, May 15, 2024, 07:30PM
Collapsing Structure, May 15, 2024, 07:34PM
Illegal Dumping, June 03, 2024, 03:55PM
General Exterior Maintenance/Fence/Outbuildings, June 03, 2024, 04:00PM

3211 W 61 St, Cleveland, 44102 (4 requests)
Vacant Property Open to Entry, May 20, 2024, 02:36PM
Vacant Property Open to Entry, May 22, 2024, 09:36PM
Illegal Dumping, May 23, 2024, 06:59PM
Vacant Property Open to Entry, June 03, 2024, 05:26PM

3672 E 117 St, Cleveland, 44105 (4 requests)
Waste Cart Concerns, May 21, 2024, 06:35PM
Missed Refuse pick up, May 22, 2024, 12:14PM
Waste Cart Concerns, May 30, 2024, 03:20PM
Missing Recycling Welcome Packet, May 30, 2024, 03:33PM

3503 Beyerle Rd, Cleveland, 44105 (4 requests)
Vacant and Distressed Property, May 22, 2024, 07:50PM
Rental Inspection Complaint, May 22, 2024, 07:52PM
General Exterior Maintenance/Fence/Outbuildings, May 23, 2024, 01:20PM
General Exterior Maintenance/Fence/Outbuildings, May 23, 2024, 01:28PM

4472 E 158 St, Cleveland, 44128 (4 requests)
Vacant Property, May 24, 2024, 06:11PM
Vacant Property Open to Entry, May 28, 2024, 05:45PM
Vacant Property, May 31, 2024, 02:14PM
Vacant Property, May 31, 2024, 02:17PM

11212 Knowlton Ave, Cleveland, 44106 (4 requests)
Vacant Property, May 29, 2024, 02:46PM
Vacant Property, May 29, 2024, 02:47PM
Vacant Property Open to Entry, May 31, 2024, 09:14PM
Vacant and Distressed Property, May 31, 2024, 09:17PM

15325 Harvard Ave, Cleveland, Oh, 44128 (4 requests)
General Exterior Maintenance/Fence/Outbuildings, June 05, 2024, 02:05PM
Vacant Property, June 05, 2024, 02:07PM
Vacant Property Open to Entry, July 06, 2024, 01:44AM
Vacant Property Open to Entry, July 11, 2024, 03:00AM

4925 Dalton Ave, Cleveland, Oh, 44127 (4 requests)
General Exterior Maintenance/Fence/Outbuildings, June 14, 2024, 01:41PM
Vacant and Distressed Property, June 14, 2024, 01:44PM
Vacant Property Open to Entry, June 21, 2024, 03:06PM
Vacant Property, June 25, 2024, 08:18PM

8925 Hough Ave, Cleveland, Oh, 44106 (4 requests)
Plumbing Concern, June 19, 2024, 01:10PM
Rental Inspection Complaint, July 08, 2024, 12:50PM
Rental Inspection Complaint, July 17, 2024, 03:15PM
Rental Inspection Complaint, July 17, 2024, 03:36PM

1193 E 113Th St, Cleveland, Oh, 44108 (4 requests)
Vacant Property Open to Entry, June 21, 2024, 04:10AM
Illegal Dumping, June 24, 2024, 02:09PM
Vacant Property, June 24, 2024, 02:15PM
Vacant Property Open to Entry, June 25, 2024, 10:18AM

3316 E 139Th St, Cleveland, Oh, 44120 (4 requests)
General Exterior Maintenance/Fence/Outbuildings, June 24, 2024, 09:24PM
Vacant Property, June 24, 2024, 09:26PM
Vacant Property, June 24, 2024, 09:27PM
Vacant and Distressed Property, July 12, 2024, 05:36PM

11309 Nelson Ave, Cleveland, Oh, 44105 (4 requests)
Waste Cart Concerns, July 16, 2024, 01:56PM
Waste Cart Concerns, July 16, 2024, 01:57PM
General Exterior Maintenance/Fence/Outbuildings, July 16, 2024, 08:46PM
Tree Service, July 16, 2024, 08:47PM

7213 Hecker Ave, Cleveland, Oh, 44103 (4 requests)
Waste Cart Concerns, July 16, 2024, 02:19PM
Waste Cart Concerns, July 16, 2024, 02:20PM
Waste Cart Concerns, July 16, 2024, 02:21PM
Waste Cart Concerns, July 16, 2024, 02:22PM

3683 E 103Rd St, Cleveland, Oh, 44105 (4 requests)
Debris in Street, July 17, 2024, 01:54PM
General Exterior Maintenance/Fence/Outbuildings, July 17, 2024, 01:59PM
Cart Pick Up, July 17, 2024, 02:00PM
Vacant Property, July 17, 2024, 02:03PM

3675 E 55Th St, Cleveland, Oh, 44105 (4 requests)
Vacant and Distressed Property, July 17, 2024, 03:56PM
Illegal Dumping, July 17, 2024, 03:58PM
Vacant Property, July 17, 2024, 04:00PM
Vacant Property Open to Entry, July 17, 2024, 04:04PM

5811 Franklin Blvd, Cleveland, Oh, 44102 (4 requests)
Waste Cart Concerns, July 17, 2024, 05:06PM
Cart Pick Up, July 17, 2024, 05:08PM
Waste Cart Concerns, July 17, 2024, 05:09PM
Cart Pick Up, July 22, 2024, 08:45PM

11425 Glenboro Dr, Cleveland, Oh, 44105 (4 requests)
Tire Pick up, July 17, 2024, 07:18PM
Missed Refuse pick up, July 18, 2024, 06:27PM
Waste Cart Concerns, July 18, 2024, 06:31PM
Cart Pick Up, July 18, 2024, 06:32PM

3207 Mapledale Ave, Cleveland, Oh, 44109 (4 requests)
Waste Cart Concerns, July 18, 2024, 03:09PM
Waste Cart Concerns, July 18, 2024, 03:10PM
Waste Cart Concerns, July 18, 2024, 03:11PM
Waste Cart Concerns, July 18, 2024, 03:11PM

2913 E 126Th St, Cleveland, Oh, 44120 (4 requests)
Waste Cart Concerns, July 22, 2024, 01:30PM
Waste Cart Concerns, July 22, 2024, 01:31PM
Waste Cart Concerns, July 22, 2024, 01:35PM
Waste Cart Concerns, July 22, 2024, 01:36PM

10206 Reno Ave, Cleveland, Oh, 44105 (4 requests)
Illegal Dumping, July 22, 2024, 04:29PM
Vacant Property Open to Entry, July 22, 2024, 04:30PM
General Exterior Maintenance/Fence/Outbuildings, July 22, 2024, 04:35PM
Cart Pick Up, July 22, 2024, 04:37PM

3819 W 135Th St, Cleveland, Oh, 44111 (4 requests)
Cart Pick Up, July 23, 2024, 04:30PM
Cart Pick Up, July 23, 2024, 04:31PM
Waste Cart Concerns, July 23, 2024, 04:32PM
Waste Cart Concerns, July 23, 2024, 04:32PM

14908 Thames Ave, Cleveland, 44110 (3 requests)
Missed Refuse pick up, May 15, 2024, 12:11PM
Recycling Opt-in Program, May 15, 2024, 12:13PM
Missing Recycling Welcome Packet, May 15, 2024, 12:18PM

1233 E 80 St, Cleveland, 44103 (3 requests)
Vacant Property Open to Entry, May 16, 2024, 03:08AM
Vacant Property, May 20, 2024, 02:10PM
Vacant Property, May 20, 2024, 02:12PM

9500 Raymond Ave, Cleveland, 44104 (3 requests)
Vacant Property Open to Entry, May 16, 2024, 03:13PM
Vacant Property Open to Entry, May 24, 2024, 03:09PM
Vacant Property Open to Entry, June 03, 2024, 05:03PM

16715 Grovewood Ave, Cleveland, 44110 (3 requests)
Pothole Repair, May 18, 2024, 07:03PM
Waste Cart Concerns, May 28, 2024, 04:54PM
Missing Recycling Welcome Packet, May 28, 2024, 04:56PM

1164 E 167 St, Cleveland, 44110 (3 requests)
Parks Maintenance, May 20, 2024, 04:44PM
Parks Maintenance, May 20, 2024, 04:46PM
Parks Maintenance, May 20, 2024, 04:48PM

1453 E 116 St, Cleveland, 44106 (3 requests)
General Exterior Maintenance/Fence/Outbuildings, May 21, 2024, 08:00PM
Vacant Property, May 21, 2024, 08:01PM
Vacant Property Open to Entry, May 21, 2024, 08:02PM

2323 W 3 St, Cleveland, 44113 (3 requests)
Graffiti Removal, May 21, 2024, 09:04PM
General Exterior Maintenance/Fence/Outbuildings, May 21, 2024, 09:09PM
Vacant Property, May 21, 2024, 09:12PM

3302 Trowbridge Ave, Cleveland, 44109 (3 requests)
General Exterior Maintenance/Fence/Outbuildings, May 22, 2024, 07:28PM
Vacant Property, May 22, 2024, 07:30PM
Vacant Property Open to Entry, May 22, 2024, 07:31PM

13509 Earlwood Rd, Cleveland, 44110 (3 requests)
Vacant and Distressed Property, May 22, 2024, 08:16PM
Vacant and Distressed Property, May 22, 2024, 08:18PM
Vacant Property Open to Entry, May 23, 2024, 01:05PM

3398 E 123 St, Cleveland, 44120 (3 requests)
Vacant Property, May 22, 2024, 08:58PM
Vacant Property Open to Entry, May 23, 2024, 03:46PM
Vacant Property Open to Entry, May 30, 2024, 11:40AM

1699 E 82 St, Cleveland, 44103 (3 requests)
Vacant Property, May 23, 2024, 04:59PM
Vacant Property Open to Entry, May 23, 2024, 05:03PM
General Exterior Maintenance/Fence/Outbuildings, May 23, 2024, 05:02PM

3325 Scranton Rd, Cleveland, 44109 (3 requests)
Vacant Property, May 24, 2024, 05:10PM
Vacant Property Open to Entry, May 24, 2024, 05:12PM
General Exterior Maintenance/Fence/Outbuildings, May 24, 2024, 05:14PM

11623 Buckeye Rd, Cleveland, 44120 (3 requests)
Waste Cart Concerns, May 28, 2024, 01:05PM
Waste Cart Concerns, May 28, 2024, 01:08PM
Recycling Opt-in Program, May 28, 2024, 01:11PM

1862 Haldane Rd, Cleveland, 44112 (3 requests)
Vacant Property, May 28, 2024, 02:28PM
General Exterior Maintenance/Fence/Outbuildings, May 28, 2024, 02:32PM
Cart Pick Up, May 28, 2024, 02:33PM

3448 E 149 St, Cleveland, 44120 (3 requests)
Cart Pick Up, May 28, 2024, 04:25PM
Cart Pick Up, May 28, 2024, 04:26PM
