CaseID,Location,CaseType,OpenedDateTime
23834,"17115 AMBER DR, CLEVELAND, 44111",Missed Refuse pick up,"May 15, 2024, 07:48AM"
23836,"17135 AMBER DR, CLEVELAND, 44111",Missed Refuse pick up,"May 15, 2024, 07:51AM"
23844,"3806 W 138 ST, CLEVELAND, 44111",General Exterior Maintenance/Fence/Outbuildings,"May 15, 2024, 08:04AM"
23847,"14908 THAMES AVE, CLEVELAND, 44110",Missed Refuse pick up,"May 15, 2024, 08:11AM"
23850,"14908 THAMES AVE, CLEVELAND, 44110",Recycling Opt-in Program,"May 15, 2024, 08:13AM"
23853,"1571 E 43 ST, CLEVELAND, 44103",Dead Animal Pickup,"May 15, 2024, 08:15AM"
23855,"14908 THAMES AVE, CLEVELAND, 44110",Missing Recycling Welcome Packet,"May 15, 2024, 08:18AM"
23858,"12625 BRITTON DR, CLEVELAND, 44120",Missing Recycling Welcome Packet,"May 15, 2024, 08:23AM"
23862,"14721 ORCHARD PARK AVE, CLEVELAND, 44111",Missed Refuse pick up,"May 15, 2024, 08:32AM"
23867,"16400 MUNN RD, CLEVELAND, 44111",Missed Refuse pick up,"May 15, 2024, 08:39AM"
23879,"4900 PAYNE AVE, CLEVELAND, 44103",Debris in Street,"May 15, 2024, 08:50AM"
23885,"16900 WEST PARK AVE, CLEVELAND, 44111",Missed Refuse pick up,"May 15, 2024, 08:53AM"
23891,"11805 FARRINGDON AVE, CLEVELAND, 44105",Waste Cart Concerns,"May 15, 2024, 08:57AM"
23892,"11805 FARRINGDON AVE, CLEVELAND, 44105",Missed Refuse pick up,"May 15, 2024, 08:58AM"
23894,"2343 BELVOIR BLVD, CLEVELAND, 44121",Early Set Out-Carts Left Out After Collection,"May 15, 2024, 09:01AM"
23895,"3600 WARREN RD, CLEVELAND, 44111",Missed Refuse pick up,"May 15, 2024, 09:03AM"
23898,"15007 ROSEMARY AVE, CLEVELAND, 44111",Missed Refuse pick up,"May 15, 2024, 09:07AM"
23903,"3067 WARREN RD, CLEVELAND, 44111",Missed Refuse pick up,"May 15, 2024, 09:09AM"
23911,"1469 E 112 ST, CLEVELAND, 44106",Waste Cart Concerns,"May 15, 2024, 09:15AM"
23918,"9710 LAMONTIER AVE, CLEVELAND, 44104",Waste Cart Concerns,"May 15, 2024, 09:21AM"
23931,"423 E 157 ST, CLEVELAND, 44110",Rental Inspection Complaint,"May 15, 2024, 09:32AM"
23942,"14202 KINSMAN RD, CLEVELAND, 44120",Vacant Property Open to Entry,"May 15, 2024, 09:42AM"
23946,"11007 RESERVOIR PLACE DR, CLEVELAND, 44104",Scheduled Bulk Pick up,"May 15, 2024, 09:45AM"
23949,"314 GROVE DR, CLEVELAND, 44110",Waste Cart Concerns,"May 15, 2024, 09:46AM"
23951,"2903 GARDEN AVE, CLEVELAND, 44109",Tire Pick up,"May 15, 2024, 09:47AM"
23960,"10108 DUNLAP AVE, CLEVELAND, 44105",Scheduled Bulk Pick up,"May 15, 2024, 09:55AM"
23967,"12004 OAKLAND AVE, CLEVELAND, 44106",Rental Inspection Complaint,"May 15, 2024, 10:01AM"
23969,"3431 E 137 ST, CLEVELAND, 44120",Vacant Property,"May 15, 2024, 10:03AM"
23976,"4257 E 163 ST, CLEVELAND, 44128",Early Set Out-Carts Left Out After Collection,"May 15, 2024, 10:24AM"
23977,"1065 E 72 ST, CLEVELAND, 44103",Illegal Dumping,"May 15, 2024, 10:25AM"
23991,"4119 W 130 ST, CLEVELAND, 44135",Scheduled Bulk Pick up,"May 15, 2024, 10:52AM"
23992,"16410 ELBERTA AVE, CLEVELAND, 44128",Waste Cart Concerns,"May 15, 2024, 10:52AM"
24003,"12605 FIRSBY AVE, CLEVELAND, 44135",Illegal Dumping,"May 15, 2024, 11:03AM"
24013,"15401 HARVARD AVE, CLEVELAND, 44128",Vacant Property,"May 15, 2024, 11:15AM"
24015,"3516 E 133 ST, CLEVELAND, 44120",Waste Cart Concerns,"May 15, 2024, 11:17AM"
24018,"7708 DONALD AVE, CLEVELAND, 44103",Missed Refuse pick up,"May 15, 2024, 11:19AM"
24019,"14512 ORCHARD PARK AVE, CLEVELAND, 44111",Missed Refuse pick up,"May 15, 2024, 11:24AM"
24022,"4676 W 11 ST, CLEVELAND, 44109",Scheduled Bulk Pick up,"May 15, 2024, 11:27AM"
24030,"12813 BENHAM AVE, CLEVELAND, 44105",Missed Refuse pick up,"May 15, 2024, 11:39AM"
24049,"12305 SUMMERLAND AVE, CLEVELAND, 44111",Illegal Dumping,"May 15, 2024, 12:59PM"
24050,"2044 BROADVIEW RD, CLEVELAND, 44109",Pothole Repair,"May 15, 2024, 01:04PM"
24056,"3911 E 131 ST, CLEVELAND, 44105",Vacant Property Open to Entry,"May 15, 2024, 01:10PM"
24057,"3911 E 131 ST, CLEVELAND, 44105",Vacant and Distressed Property,"May 15, 2024, 01:11PM"
